pickup_date,pickup_hour,is_weekend,ride_count,Temperature (F),Wind Speed (mph),Precip. (in),Condition_All_Cloudy,Condition_All_Fair,Condition_All_Fog,Condition_All_Rain,Condition_All_Storm
6/1/2024,0,1,38854,67,10,0,0,1,0,0,0
6/1/2024,1,1,30675,67,10,0,0,1,0,0,0
6/1/2024,2,1,22535,66,9,0,0,1,0,0,0
6/1/2024,3,1,17082,65,3,0,0,1,0,0,0
6/1/2024,4,1,13947,64,12,0,0,1,0,0,0
6/1/2024,5,1,11762,65,10,0,0,1,0,0,0
6/1/2024,6,1,14445,64,10,0,0,1,0,0,0
6/1/2024,7,1,19051,65,13,0,0,1,0,0,0
6/1/2024,8,1,23718,66,8,0,0,1,0,0,0
6/1/2024,9,1,28714,68,8,0,0,1,0,0,0
6/1/2024,10,1,31383,71,7,0,0,1,0,0,0
6/1/2024,11,1,33291,74,6,0,0,1,0,0,0
6/1/2024,12,1,34820,77,6,0,0,1,0,0,0
6/1/2024,13,1,35976,79,3,0,0,1,0,0,0
6/1/2024,14,1,37870,81,5,0,0,1,0,0,0
6/1/2024,15,1,38569,82,12,0,1,0,0,0,0
6/1/2024,16,1,39259,84,8,0,1,0,0,0,0
6/1/2024,17,1,41976,84,7,0,1,0,0,0,0
6/1/2024,18,1,44719,82,7,0,1,0,0,0,0
6/1/2024,19,1,45330,83,10,0,1,0,0,0,0
6/1/2024,20,1,41892,81,9,0,1,0,0,0,0
6/1/2024,21,1,43931,80,12,0,1,0,0,0,0
6/1/2024,22,1,47268,78,8,0,1,0,0,0,0
6/1/2024,23,1,47984,78,8,0,1,0,0,0,0
6/2/2024,0,1,43632,77,9,0,1,0,0,0,0
6/2/2024,1,1,36116,76,7,0,1,0,0,0,0
6/2/2024,2,1,27158,73,10,0,1,0,0,0,0
6/2/2024,3,1,20635,73,8,0,1,0,0,0,0
6/2/2024,4,1,15989,72,7,0,1,0,0,0,0
6/2/2024,5,1,12641,70,0,0,1,0,0,0,0
6/2/2024,6,1,13948,70,0,0,1,0,0,0,0
6/2/2024,7,1,15625,70,0,0,1,0,0,0,0
6/2/2024,8,1,18292,71,0,0,1,0,0,0,0
6/2/2024,9,1,24205,72,0,0,1,0,0,0,0
6/2/2024,10,1,29062,74,5,0,1,0,0,0,0
6/2/2024,11,1,30192,79,8,0,1,0,0,0,0
6/2/2024,12,1,31115,81,8,0,1,0,0,0,0
6/2/2024,13,1,31970,81,7,0,1,0,0,0,0
6/2/2024,14,1,33382,82,13,0,1,0,0,0,0
6/2/2024,15,1,34074,82,9,0,1,0,0,0,0
6/2/2024,16,1,34044,81,17,0,1,0,0,0,0
6/2/2024,17,1,33792,79,12,0,1,0,0,0,0
6/2/2024,18,1,34421,80,13,0,1,0,0,0,0
6/2/2024,19,1,32085,80,5,0,1,0,0,0,0
6/2/2024,20,1,30775,76,8,0,1,0,0,0,0
6/2/2024,21,1,32197,74,9,0,1,0,0,0,0
6/2/2024,22,1,30312,73,7,0,1,0,0,0,0
6/2/2024,23,1,25087,74,0,0,1,0,0,0,0
6/3/2024,0,0,18043,75,8,0,1,0,0,0,0
6/3/2024,1,0,10165,76,5,0,1,0,0,0,0
6/3/2024,2,0,6608,74,8,0,1,0,0,0,0
6/3/2024,3,0,5490,74,3,0,1,0,0,0,0
6/3/2024,4,0,8019,73,0,0,1,0,0,0,0
6/3/2024,5,0,11947,73,6,0,1,0,0,0,0
6/3/2024,6,0,20538,73,7,0,1,0,0,0,0
6/3/2024,7,0,32180,74,5,0,1,0,0,0,0
6/3/2024,8,0,38041,74,5,0,1,0,0,0,0
6/3/2024,9,0,31022,75,6,0,1,0,0,0,0
6/3/2024,10,0,25494,79,0,0,1,0,0,0,0
6/3/2024,11,0,24165,81,3,0,1,0,0,0,0
6/3/2024,12,0,24865,82,5,0,1,0,0,0,0
6/3/2024,13,0,26092,82,6,0,1,0,0,0,0
6/3/2024,14,0,29231,84,7,0,1,0,0,0,0
6/3/2024,15,0,29882,84,12,0,1,0,0,0,0
6/3/2024,16,0,30942,85,8,0,1,0,0,0,0
6/3/2024,17,0,34294,83,9,0,1,0,0,0,0
6/3/2024,18,0,33532,83,9,0,1,0,0,0,0
6/3/2024,19,0,29357,84,9,0,1,0,0,0,0
6/3/2024,20,0,27187,81,8,0,1,0,0,0,0
6/3/2024,21,0,29587,78,7,0,1,0,0,0,0
6/3/2024,22,0,28241,76,8,0,1,0,0,0,0
6/3/2024,23,0,22690,76,8,0,1,0,0,0,0
6/4/2024,0,0,15190,75,7,0,1,0,0,0,0
6/4/2024,1,0,8311,70,6,0,1,0,0,0,0
6/4/2024,2,0,5379,69,3,0,1,0,0,0,0
6/4/2024,3,0,4597,69,3,0,1,0,0,0,0
6/4/2024,4,0,6488,69,7,0,1,0,0,0,0
6/4/2024,5,0,10726,67,8,0,1,0,0,0,0
6/4/2024,6,0,20286,66,10,0,0,1,0,0,0
6/4/2024,7,0,33402,64,13,0,0,0,1,0,0
6/4/2024,8,0,38610,65,12,0,0,0,1,0,0
6/4/2024,9,0,32128,66,13,0,0,0,1,0,0
6/4/2024,10,0,26823,68,12,0,0,1,0,0,0
6/4/2024,11,0,25242,69,12,0,0,1,0,0,0
6/4/2024,12,0,25576,74,12,0,1,0,0,0,0
6/4/2024,13,0,26246,77,8,0,1,0,0,0,0
6/4/2024,14,0,29236,79,10,0,1,0,0,0,0
6/4/2024,15,0,30359,80,9,0,1,0,0,0,0
6/4/2024,16,0,31151,80,8,0,1,0,0,0,0
6/4/2024,17,0,35015,79,10,0,1,0,0,0,0
6/4/2024,18,0,36012,76,12,0,1,0,0,0,0
6/4/2024,19,0,32163,73,13,0,1,0,0,0,0
